timestamp,meterid,voltagemagnitude,voltageangle,frequency
2013-04-22T08:59:26.083,40,1.019,33.36,59.989
2013-04-22T08:59:26.083,43,1.008,38.32,59.994
2013-04-22T08:59:26.083,23,1.023,0.0,59.994
2013-04-22T08:59:26.083,44,1.025,30.28,59.994
2013-04-22T08:59:26.083,118,1.026,26.54,59.995
2013-04-22T08:59:26.083,137,0.998,-4.51,59.994
2013-04-22T08:59:26.083,83,1.02,50.21,59.994
2013-04-22T08:59:26.083,129,1.022,4.18,59.993
2013-04-22T08:59:26.100,40,1.019,33.33,59.989
2013-04-22T08:59:26.100,83,1.02,50.2,59.993
2013-04-22T08:59:26.100,129,1.022,4.18,59.995
2013-04-22T08:59:26.100,44,1.025,30.28,59.994
2013-04-22T08:59:26.100,118,1.026,26.53,59.994
2013-04-22T08:59:26.100,137,0.999,-4.51,59.994
2013-04-22T08:59:26.100,23,1.024,0.0,59.995
2013-04-22T08:59:26.100,43,1.008,38.31,59.994
2013-04-22T08:59:26.117,129,1.022,4.18,59.995
2013-04-22T08:59:26.117,43,1.009,38.31,59.994
2013-04-22T08:59:26.117,137,0.999,-4.51,59.995
2013-04-22T08:59:26.117,118,1.026,26.53,59.994
2013-04-22T08:59:26.117,40,1.019,33.29,59.988
2013-04-22T08:59:26.117,23,1.024,0.0,59.995
2013-04-22T08:59:26.117,83,1.02,50.2,59.994
2013-04-22T08:59:26.117,44,1.025,30.27,59.994
2013-04-22T08:59:26.133,40,1.019,33.25,59.988
2013-04-22T08:59:26.133,129,1.022,4.18,59.994
2013-04-22T08:59:26.133,83,1.019,50.2,59.995
2013-04-22T08:59:26.133,23,1.024,0.0,59.995
2013-04-22T08:59:26.133,43,1.009,38.31,59.994
2013-04-22T08:59:26.133,118,1.026,26.53,59.994
2013-04-22T08:59:26.133,44,1.025,30.27,59.994
2013-04-22T08:59:26.133,137,0.999,-4.52,59.994
2013-04-22T08:59:26.150,23,1.024,0.0,59.995
2013-04-22T08:59:26.150,83,1.019,50.2,59.995
2013-04-22T08:59:26.150,44,1.025,30.27,59.994
2013-04-22T08:59:26.150,129,1.022,4.18,59.994
2013-04-22T08:59:26.150,40,1.019,33.21,59.988
2013-04-22T08:59:26.150,118,1.026,26.52,59.993
2013-04-22T08:59:26.150,137,0.999,-4.52,59.994
2013-04-22T08:59:26.150,43,1.009,38.31,59.994
2013-04-22T08:59:26.167,43,1.008,38.31,59.995
2013-04-22T08:59:26.167,118,1.026,26.52,59.995
2013-04-22T08:59:26.167,137,0.999,-4.52,59.995
2013-04-22T08:59:26.167,40,1.019,33.16,59.988
2013-04-22T08:59:26.167,83,1.02,50.2,59.994
2013-04-22T08:59:26.167,23,1.024,0.0,59.995
2013-04-22T08:59:26.167,129,1.022,4.18,59.995
2013-04-22T08:59:26.167,44,1.025,30.27,59.995
2013-04-22T08:59:26.183,23,1.024,0.0,59.995
2013-04-22T08:59:26.183,129,1.022,4.18,59.996
2013-04-22T08:59:26.183,118,1.026,26.52,59.994
2013-04-22T08:59:26.183,44,1.025,30.26,59.994
2013-04-22T08:59:26.183,43,1.008,38.3,59.994
2013-04-22T08:59:26.183,40,1.019,33.12,59.989
2013-04-22T08:59:26.183,83,1.019,50.19,59.994
2013-04-22T08:59:26.183,137,0.999,-4.52,59.995
2013-04-22T08:59:26.200,43,1.008,38.29,59.994
2013-04-22T08:59:26.200,137,0.999,-4.52,59.995
2013-04-22T08:59:26.200,40,1.019,33.08,59.989
2013-04-22T08:59:26.200,83,1.02,50.19,59.994
2013-04-22T08:59:26.200,118,1.026,26.51,59.994
2013-04-22T08:59:26.200,44,1.025,30.26,59.994
2013-04-22T08:59:26.200,23,1.024,0.0,59.995
2013-04-22T08:59:26.200,129,1.022,4.18,59.995
2013-04-22T08:59:26.217,137,0.999,-4.52,59.995
2013-04-22T08:59:26.217,118,1.026,26.51,59.995
2013-04-22T08:59:26.217,129,1.022,4.18,59.995
2013-04-22T08:59:26.217,23,1.024,0.0,59.995
2013-04-22T08:59:26.217,40,1.019,33.04,59.988
2013-04-22T08:59:26.217,44,1.025,30.26,59.995
2013-04-22T08:59:26.217,83,1.02,50.19,59.995
2013-04-22T08:59:26.217,43,1.008,38.29,59.994
2013-04-22T08:59:26.233,23,1.024,0.0,59.994
2013-04-22T08:59:26.233,43,1.008,38.29,59.994
2013-04-22T08:59:26.233,83,1.02,50.19,59.995
2013-04-22T08:59:26.233,137,0.999,-4.52,59.994
2013-04-22T08:59:26.233,44,1.025,30.26,59.995
2013-04-22T08:59:26.233,118,1.026,26.51,59.994
2013-04-22T08:59:26.233,40,1.019,33.0,59.988
2013-04-22T08:59:26.233,129,1.022,4.18,59.995
2013-04-22T08:59:26.250,44,1.025,30.26,59.994
2013-04-22T08:59:26.250,137,0.999,-4.53,59.994
2013-04-22T08:59:26.250,23,1.024,0.0,59.994
2013-04-22T08:59:26.250,129,1.022,4.18,59.994
2013-04-22T08:59:26.250,43,1.008,38.29,59.994
2013-04-22T08:59:26.250,118,1.026,26.51,59.995
2013-04-22T08:59:26.250,83,1.019,50.19,59.994
2013-04-22T08:59:26.250,40,1.019,32.96,59.988
2013-04-22T08:59:26.267,44,1.025,30.26,59.994
2013-04-22T08:59:26.267,137,0.999,-4.53,59.994
2013-04-22T08:59:26.267,129,1.022,4.18,59.994
2013-04-22T08:59:26.267,40,1.019,32.93,59.988
2013-04-22T08:59:26.267,118,1.026,26.51,59.994
2013-04-22T08:59:26.267,83,1.019,50.19,59.993
2013-04-22T08:59:26.267,43,1.008,38.29,59.994
2013-04-22T08:59:26.267,23,1.024,0.0,59.994
2013-04-22T08:59:26.283,83,1.02,50.19,59.995
2013-04-22T08:59:26.283,44,1.025,30.26,59.994
2013-04-22T08:59:26.283,43,1.008,38.28,59.994
2013-04-22T08:59:26.283,118,1.026,26.51,59.995
2013-04-22T08:59:26.283,40,1.019,32.88,59.988
2013-04-22T08:59:26.283,129,1.022,4.18,59.995
2013-04-22T08:59:26.283,23,1.024,0.0,59.995
2013-04-22T08:59:26.283,137,0.999,-4.53,59.995
2013-04-22T08:59:26.300,43,1.009,38.28,59.994
2013-04-22T08:59:26.300,83,1.019,50.18,59.994
2013-04-22T08:59:26.300,23,1.024,0.0,59.996
2013-04-22T08:59:26.300,118,1.026,26.51,59.995
2013-04-22T08:59:26.300,129,1.022,4.18,59.995
2013-04-22T08:59:26.300,137,0.999,-4.53,59.994
2013-04-22T08:59:26.300,44,1.025,30.26,59.995
2013-04-22T08:59:26.300,40,1.019,32.84,59.989
2013-04-22T08:59:26.317,129,1.022,4.18,59.996
2013-04-22T08:59:26.317,118,1.026,26.51,59.995
2013-04-22T08:59:26.317,137,0.999,-4.54,59.995
2013-04-22T08:59:26.317,43,1.009,38.27,59.995
2013-04-22T08:59:26.317,23,1.024,0.0,59.996
2013-04-22T08:59:26.317,83,1.019,50.18,59.995
2013-04-22T08:59:26.317,44,1.025,30.26,59.995
2013-04-22T08:59:26.317,40,1.019,32.8,59.988
2013-04-22T08:59:26.333,83,1.019,50.18,59.995
2013-04-22T08:59:26.333,23,1.024,0.0,59.994
2013-04-22T08:59:26.333,118,1.026,26.52,59.996
2013-04-22T08:59:26.333,129,1.022,4.18,59.995
2013-04-22T08:59:26.333,40,1.019,32.75,59.987
2013-04-22T08:59:26.333,44,1.025,30.27,59.996
2013-04-22T08:59:26.333,43,1.008,38.29,59.996
2013-04-22T08:59:26.333,137,0.999,-4.53,59.994
2013-04-22T08:59:26.350,43,1.008,38.29,59.994
2013-04-22T08:59:26.350,44,1.025,30.27,59.994
2013-04-22T08:59:26.350,137,0.999,-4.54,59.994
2013-04-22T08:59:26.350,40,1.019,32.72,59.988
2013-04-22T08:59:26.350,129,1.022,4.18,59.994
2013-04-22T08:59:26.350,118,1.026,26.52,59.994
2013-04-22T08:59:26.350,23,1.024,0.0,59.994
2013-04-22T08:59:26.350,83,1.019,50.19,59.994
2013-04-22T08:59:26.367,83,1.019,50.19,59.995
2013-04-22T08:59:26.367,118,1.026,26.51,59.994
2013-04-22T08:59:26.367,40,1.019,32.68,59.988
2013-04-22T08:59:26.367,137,0.999,-4.54,59.994
2013-04-22T08:59:26.367,43,1.008,38.28,59.994
2013-04-22T08:59:26.367,44,1.025,30.26,59.994
2013-04-22T08:59:26.367,23,1.024,0.0,59.995
2013-04-22T08:59:26.367,129,1.022,4.18,59.994
2013-04-22T08:59:26.383,118,1.026,26.51,59.994
2013-04-22T08:59:26.383,137,0.999,-4.54,59.995
2013-04-22T08:59:26.383,83,1.02,50.19,59.994
2013-04-22T08:59:26.383,23,1.024,0.0,59.994
2013-04-22T08:59:26.383,40,1.019,32.63,59.987
2013-04-22T08:59:26.383,44,1.025,30.26,59.994
2013-04-22T08:59:26.383,129,1.022,4.18,59.995
2013-04-22T08:59:26.383,43,1.008,38.28,59.994
2013-04-22T08:59:26.400,137,0.999,-4.54,59.995
2013-04-22T08:59:26.400,43,1.008,38.28,59.995
2013-04-22T08:59:26.400,129,1.022,4.18,59.995
2013-04-22T08:59:26.400,23,1.024,0.0,59.995
2013-04-22T08:59:26.400,83,1.02,50.19,59.995
2013-04-22T08:59:26.400,40,1.019,32.59,59.987
2013-04-22T08:59:26.400,44,1.025,30.26,59.995
2013-04-22T08:59:26.400,118,1.026,26.51,59.995
2013-04-22T08:59:26.417,83,1.02,50.18,59.994
2013-04-22T08:59:26.417,44,1.025,30.26,59.995
2013-04-22T08:59:26.417,40,1.019,32.55,59.989
2013-04-22T08:59:26.417,23,1.024,0.0,59.995
2013-04-22T08:59:26.417,43,1.008,38.27,59.994
2013-04-22T08:59:26.417,129,1.022,4.18,59.994
2013-04-22T08:59:26.417,137,0.999,-4.54,59.995
2013-04-22T08:59:26.417,118,1.026,26.5,59.994
2013-04-22T08:59:26.433,118,1.026,26.5,59.994
2013-04-22T08:59:26.433,83,1.02,50.18,59.994
2013-04-22T08:59:26.433,43,1.008,38.28,59.995
2013-04-22T08:59:26.433,40,1.019,32.5,59.988
2013-04-22T08:59:26.433,23,1.024,0.0,59.995
2013-04-22T08:59:26.433,44,1.025,30.26,59.994
2013-04-22T08:59:26.433,137,0.999,-4.54,59.995
2013-04-22T08:59:26.433,129,1.022,4.18,59.995
2013-04-22T08:59:26.450,83,1.02,50.17,59.995
2013-04-22T08:59:26.450,118,1.026,26.5,59.995
2013-04-22T08:59:26.450,43,1.009,38.27,59.995
2013-04-22T08:59:26.450,23,1.024,0.0,59.996
2013-04-22T08:59:26.450,129,1.022,4.18,59.996
2013-04-22T08:59:26.450,44,1.025,30.26,59.995
2013-04-22T08:59:26.450,137,0.999,-4.54,59.995
2013-04-22T08:59:26.450,40,1.019,32.46,59.988
2013-04-22T08:59:26.467,83,1.02,50.17,59.995
2013-04-22T08:59:26.467,43,1.009,38.27,59.995
2013-04-22T08:59:26.467,137,0.999,-4.55,59.995
2013-04-22T08:59:26.467,23,1.024,0.0,59.995
2013-04-22T08:59:26.467,40,1.019,32.41,59.988
2013-04-22T08:59:26.467,44,1.025,30.25,59.995
2013-04-22T08:59:26.467,129,1.022,4.17,59.995
2013-04-22T08:59:26.467,118,1.026,26.5,59.995
2013-04-22T08:59:26.483,129,1.022,4.17,59.994
2013-04-22T08:59:26.483,40,1.019,32.37,59.987
2013-04-22T08:59:26.483,83,1.02,50.17,59.995
2013-04-22T08:59:26.483,44,1.025,30.26,59.995
2013-04-22T08:59:26.483,43,1.009,38.27,59.995
2013-04-22T08:59:26.483,137,0.999,-4.54,59.995
2013-04-22T08:59:26.483,23,1.024,0.0,59.994
2013-04-22T08:59:26.483,118,1.026,26.5,59.995
2013-04-22T08:59:26.500,40,1.019,32.33,59.987
2013-04-22T08:59:26.500,44,1.025,30.26,59.995
2013-04-22T08:59:26.500,43,1.009,38.28,59.994
2013-04-22T08:59:26.500,118,1.026,26.51,59.996
2013-04-22T08:59:26.500,23,1.024,0.0,59.994
2013-04-22T08:59:26.500,83,1.02,50.18,59.995
2013-04-22T08:59:26.500,137,0.999,-4.54,59.994
2013-04-22T08:59:26.500,129,1.022,4.18,59.995
2013-04-22T08:59:26.517,137,0.999,-4.54,59.994
2013-04-22T08:59:26.517,40,1.02,32.29,59.988
2013-04-22T08:59:26.517,44,1.025,30.27,59.995
2013-04-22T08:59:26.517,129,1.022,4.18,59.994
2013-04-22T08:59:26.517,118,1.026,26.51,59.994
2013-04-22T08:59:26.517,43,1.008,38.28,59.995
2013-04-22T08:59:26.517,83,1.02,50.19,59.995
2013-04-22T08:59:26.517,23,1.024,0.0,59.994
2013-04-22T08:59:26.533,137,0.999,-4.55,59.995
2013-04-22T08:59:26.533,129,1.022,4.18,59.994
2013-04-22T08:59:26.533,23,1.024,0.0,59.995
2013-04-22T08:59:26.533,83,1.019,50.19,59.995
2013-04-22T08:59:26.533,40,1.02,32.24,59.987
2013-04-22T08:59:26.533,118,1.026,26.51,59.995
2013-04-22T08:59:26.533,43,1.008,38.28,59.995
2013-04-22T08:59:26.533,44,1.025,30.27,59.995
2013-04-22T08:59:26.550,118,1.026,26.52,59.996
2013-04-22T08:59:26.550,40,1.019,32.2,59.988
2013-04-22T08:59:26.550,129,1.022,4.18,59.995
2013-04-22T08:59:26.550,44,1.025,30.28,59.995
2013-04-22T08:59:26.550,43,1.008,38.29,59.995
2013-04-22T08:59:26.550,83,1.019,50.19,59.995
2013-04-22T08:59:26.550,137,0.999,-4.54,59.995
2013-04-22T08:59:26.550,23,1.024,0.0,59.994
2013-04-22T08:59:26.567,23,1.024,0.0,59.995
2013-04-22T08:59:26.567,43,1.009,38.29,59.995
2013-04-22T08:59:26.567,44,1.025,30.27,59.994
2013-04-22T08:59:26.567,118,1.026,26.52,59.994
2013-04-22T08:59:26.567,40,1.019,32.16,59.988
2013-04-22T08:59:26.567,83,1.02,50.2,59.995
2013-04-22T08:59:26.567,129,1.022,4.18,59.995
2013-04-22T08:59:26.567,137,0.999,-4.54,59.995
2013-04-22T08:59:26.583,83,1.02,50.19,59.994
2013-04-22T08:59:26.583,118,1.026,26.51,59.995
2013-04-22T08:59:26.583,43,1.009,38.29,59.994
2013-04-22T08:59:26.583,23,1.024,0.0,59.995
2013-04-22T08:59:26.583,129,1.022,4.17,59.994
2013-04-22T08:59:26.583,44,1.025,30.27,59.995
2013-04-22T08:59:26.583,137,0.999,-4.54,59.995
2013-04-22T08:59:26.583,40,1.019,32.11,59.987
2013-04-22T08:59:26.600,43,1.009,38.28,59.995
2013-04-22T08:59:26.600,44,1.025,30.27,59.995
2013-04-22T08:59:26.600,23,1.024,0.0,59.996
2013-04-22T08:59:26.600,129,1.022,4.17,59.996
2013-04-22T08:59:26.600,118,1.026,26.51,59.995
2013-04-22T08:59:26.600,40,1.02,32.06,59.987
2013-04-22T08:59:26.600,83,1.02,50.18,59.995
2013-04-22T08:59:26.600,137,0.999,-4.54,59.996
2013-04-22T08:59:26.617,137,0.999,-4.54,59.997
2013-04-22T08:59:26.617,23,1.024,0.0,59.996
2013-04-22T08:59:26.617,118,1.026,26.51,59.996
2013-04-22T08:59:26.617,129,1.022,4.17,59.995
2013-04-22T08:59:26.617,40,1.02,32.01,59.988
2013-04-22T08:59:26.617,44,1.025,30.27,59.996
2013-04-22T08:59:26.617,43,1.009,38.28,59.996
2013-04-22T08:59:26.617,83,1.02,50.18,59.996
2013-04-22T08:59:26.633,40,1.02,31.96,59.987
2013-04-22T08:59:26.633,129,1.022,4.17,59.995
2013-04-22T08:59:26.633,137,0.999,-4.54,59.995
2013-04-22T08:59:26.633,43,1.009,38.28,59.995
2013-04-22T08:59:26.633,118,1.026,26.51,59.995
2013-04-22T08:59:26.633,83,1.02,50.18,59.994
2013-04-22T08:59:26.633,23,1.024,0.0,59.995
2013-04-22T08:59:26.633,44,1.025,30.26,59.994
2013-04-22T08:59:26.650,118,1.026,26.51,59.996
2013-04-22T08:59:26.650,40,1.02,31.91,59.988
2013-04-22T08:59:26.650,23,1.024,0.0,59.996
2013-04-22T08:59:26.650,43,1.009,38.28,59.995
2013-04-22T08:59:26.650,137,0.999,-4.54,59.996
2013-04-22T08:59:26.650,44,1.025,30.26,59.996
2013-04-22T08:59:26.650,83,1.02,50.18,59.995
2013-04-22T08:59:26.650,129,1.022,4.17,59.997
2013-04-22T08:59:26.667,83,1.02,50.17,59.996
2013-04-22T08:59:26.667,23,1.024,0.0,59.996
2013-04-22T08:59:26.667,118,1.026,26.51,59.996
2013-04-22T08:59:26.667,40,1.019,31.86,59.988
2013-04-22T08:59:26.667,43,1.009,38.27,59.995
2013-04-22T08:59:26.667,44,1.025,30.26,59.996
2013-04-22T08:59:26.667,137,0.999,-4.54,59.996
2013-04-22T08:59:26.667,129,1.022,4.17,59.996
2013-04-22T08:59:26.683,43,1.009,38.28,59.996
2013-04-22T08:59:26.683,44,1.025,30.26,59.994
2013-04-22T08:59:26.683,40,1.019,31.83,59.988
2013-04-22T08:59:26.683,23,1.024,0.0,59.994
2013-04-22T08:59:26.683,137,0.999,-4.53,59.996
2013-04-22T08:59:26.683,118,1.026,26.51,59.995
2013-04-22T08:59:26.683,129,1.022,4.17,59.995
2013-04-22T08:59:26.683,83,1.019,50.18,59.995
2013-04-22T08:59:26.700,40,1.019,31.78,59.987
2013-04-22T08:59:26.700,137,0.999,-4.53,59.995
2013-04-22T08:59:26.700,83,1.02,50.17,59.994
2013-04-22T08:59:26.700,129,1.022,4.17,59.995
2013-04-22T08:59:26.700,23,1.024,0.0,59.995
2013-04-22T08:59:26.700,44,1.025,30.26,59.995
2013-04-22T08:59:26.700,118,1.026,26.51,59.995
2013-04-22T08:59:26.700,43,1.009,38.28,59.995
2013-04-22T08:59:26.717,83,1.02,50.17,59.995
2013-04-22T08:59:26.717,43,1.009,38.28,59.995
2013-04-22T08:59:26.717,40,1.02,31.73,59.988
2013-04-22T08:59:26.717,129,1.022,4.17,59.995
2013-04-22T08:59:26.717,137,0.999,-4.53,59.995
2013-04-22T08:59:26.717,23,1.024,0.0,59.995
2013-04-22T08:59:26.717,118,1.026,26.51,59.994
2013-04-22T08:59:26.717,44,1.025,30.26,59.994
2013-04-22T08:59:26.733,137,0.999,-4.53,59.996
2013-04-22T08:59:26.733,43,1.009,38.28,59.995
2013-04-22T08:59:26.733,23,1.024,0.0,59.996
2013-04-22T08:59:26.733,118,1.026,26.5,59.995
2013-04-22T08:59:26.733,83,1.02,50.17,59.995
2013-04-22T08:59:26.733,44,1.025,30.25,59.995
2013-04-22T08:59:26.733,40,1.02,31.69,59.988
2013-04-22T08:59:26.733,129,1.022,4.17,59.995
2013-04-22T08:59:26.750,23,1.024,0.0,59.996
2013-04-22T08:59:26.750,83,1.02,50.16,59.994
2013-04-22T08:59:26.750,137,0.999,-4.53,59.997
2013-04-22T08:59:26.750,118,1.026,26.5,59.996
2013-04-22T08:59:26.750,44,1.025,30.25,59.995
2013-04-22T08:59:26.750,40,1.02,31.64,59.988
2013-04-22T08:59:26.750,129,1.023,4.17,59.996
2013-04-22T08:59:26.750,43,1.009,38.27,59.995
2013-04-22T08:59:26.767,44,1.025,30.25,59.996
2013-04-22T08:59:26.767,118,1.026,26.5,59.996
2013-04-22T08:59:26.767,43,1.009,38.27,59.996
2013-04-22T08:59:26.767,23,1.024,0.0,59.996
2013-04-22T08:59:26.767,83,1.02,50.15,59.995
2013-04-22T08:59:26.767,137,0.999,-4.52,59.997
2013-04-22T08:59:26.767,129,1.023,4.17,59.996
2013-04-22T08:59:26.767,40,1.02,31.59,59.989
2013-04-22T08:59:26.783,43,1.009,38.27,59.996
2013-04-22T08:59:26.783,83,1.02,50.15,59.996
2013-04-22T08:59:26.783,137,0.999,-4.52,59.997
2013-04-22T08:59:26.783,44,1.025,30.24,59.996
2013-04-22T08:59:26.783,40,1.02,31.54,59.988
2013-04-22T08:59:26.783,23,1.024,0.0,59.997
2013-04-22T08:59:26.783,118,1.026,26.5,59.996
2013-04-22T08:59:26.783,129,1.023,4.17,59.997
2013-04-22T08:59:26.800,40,1.019,31.49,59.988
2013-04-22T08:59:26.800,44,1.025,30.24,59.996
2013-04-22T08:59:26.800,83,1.02,50.15,59.996
2013-04-22T08:59:26.800,43,1.009,38.26,59.995
2013-04-22T08:59:26.800,137,0.999,-4.53,59.995
2013-04-22T08:59:26.800,118,1.026,26.5,59.996
2013-04-22T08:59:26.800,23,1.024,0.0,59.996
2013-04-22T08:59:26.800,129,1.022,4.17,59.996
2013-04-22T08:59:26.817,40,1.019,31.44,59.988
2013-04-22T08:59:26.817,43,1.009,38.26,59.996
2013-04-22T08:59:26.817,44,1.025,30.24,59.995
2013-04-22T08:59:26.817,129,1.022,4.17,59.996
2013-04-22T08:59:26.817,137,0.999,-4.52,59.997
2013-04-22T08:59:26.817,23,1.024,0.0,59.996
2013-04-22T08:59:26.817,118,1.026,26.5,59.995
2013-04-22T08:59:26.817,83,1.02,50.15,59.996
2013-04-22T08:59:26.833,23,1.024,0.0,59.996
2013-04-22T08:59:26.833,118,1.026,26.5,59.996
2013-04-22T08:59:26.833,40,1.02,31.39,59.987
2013-04-22T08:59:26.833,44,1.025,30.24,59.995
2013-04-22T08:59:26.833,129,1.023,4.17,59.996
2013-04-22T08:59:26.833,43,1.009,38.26,59.996
2013-04-22T08:59:26.833,137,0.999,-4.52,59.996
2013-04-22T08:59:26.833,83,1.02,50.14,59.995
2013-04-22T08:59:26.850,83,1.02,50.14,59.995
2013-04-22T08:59:26.850,137,0.999,-4.52,59.997
2013-04-22T08:59:26.850,118,1.026,26.5,59.996
2013-04-22T08:59:26.850,40,1.02,31.34,59.988
2013-04-22T08:59:26.850,129,1.023,4.17,59.996
2013-04-22T08:59:26.850,23,1.024,0.0,59.996
2013-04-22T08:59:26.850,43,1.009,38.26,59.996
2013-04-22T08:59:26.850,44,1.025,30.24,59.996
2013-04-22T08:59:26.867,118,1.026,26.5,59.997
2013-04-22T08:59:26.867,83,1.02,50.14,59.996
2013-04-22T08:59:26.867,40,1.02,31.29,59.988
2013-04-22T08:59:26.867,43,1.009,38.26,59.996
2013-04-22T08:59:26.867,137,0.999,-4.52,59.996
2013-04-22T08:59:26.867,129,1.022,4.18,59.997
2013-04-22T08:59:26.867,44,1.025,30.24,59.997
2013-04-22T08:59:26.867,23,1.024,0.0,59.996
2013-04-22T08:59:26.883,44,1.025,30.24,59.996
2013-04-22T08:59:26.883,118,1.026,26.5,59.996
2013-04-22T08:59:26.883,40,1.02,31.25,59.989
2013-04-22T08:59:26.883,23,1.024,0.0,59.996
2013-04-22T08:59:26.883,137,0.999,-4.52,59.995
2013-04-22T08:59:26.883,83,1.02,50.13,59.995
2013-04-22T08:59:26.883,43,1.009,38.26,59.996
2013-04-22T08:59:26.883,129,1.022,4.17,59.995
2013-04-22T08:59:26.900,137,0.999,-4.52,59.995
2013-04-22T08:59:26.900,44,1.025,30.24,59.995
2013-04-22T08:59:26.900,40,1.02,31.21,59.988
2013-04-22T08:59:26.900,43,1.009,38.27,59.996
2013-04-22T08:59:26.900,118,1.026,26.5,59.996
2013-04-22T08:59:26.900,83,1.02,50.14,59.995
2013-04-22T08:59:26.900,23,1.024,0.0,59.995
2013-04-22T08:59:26.900,129,1.022,4.18,59.995
2013-04-22T08:59:26.917,137,0.999,-4.52,59.996
2013-04-22T08:59:26.917,40,1.019,31.15,59.988
2013-04-22T08:59:26.917,43,1.009,38.27,59.996
2013-04-22T08:59:26.917,23,1.024,0.0,59.996
2013-04-22T08:59:26.917,44,1.025,30.23,59.995
2013-04-22T08:59:26.917,129,1.022,4.18,59.996
2013-04-22T08:59:26.917,83,1.02,50.13,59.996
2013-04-22T08:59:26.917,118,1.026,26.5,59.995
2013-04-22T08:59:26.933,43,1.009,38.26,59.996
2013-04-22T08:59:26.933,83,1.02,50.13,59.996
2013-04-22T08:59:26.933,44,1.025,30.23,59.996
2013-04-22T08:59:26.933,23,1.024,0.0,59.997
2013-04-22T08:59:26.933,129,1.023,4.18,59.997
2013-04-22T08:59:26.933,118,1.026,26.5,59.997
2013-04-22T08:59:26.933,40,1.02,31.1,59.988
2013-04-22T08:59:26.933,137,0.999,-4.53,59.997
2013-04-22T08:59:26.950,118,1.026,26.49,59.997
2013-04-22T08:59:26.950,83,1.02,50.12,59.997
2013-04-22T08:59:26.950,43,1.009,38.26,59.997
2013-04-22T08:59:26.950,129,1.023,4.18,59.998
2013-04-22T08:59:26.950,137,0.999,-4.53,59.997
2013-04-22T08:59:26.950,40,1.02,31.04,59.987
2013-04-22T08:59:26.950,23,1.024,0.0,59.997
2013-04-22T08:59:26.950,44,1.025,30.23,59.997
2013-04-22T08:59:26.967,129,1.023,4.18,59.997
2013-04-22T08:59:26.967,43,1.009,38.26,59.997
2013-04-22T08:59:26.967,83,1.02,50.11,59.996
2013-04-22T08:59:26.967,23,1.024,0.0,59.997
2013-04-22T08:59:26.967,118,1.026,26.49,59.996
2013-04-22T08:59:26.967,137,0.999,-4.53,59.997
2013-04-22T08:59:26.967,44,1.025,30.22,59.996
2013-04-22T08:59:26.967,40,1.02,30.99,59.989
2013-04-22T08:59:26.983,118,1.026,26.49,59.997
2013-04-22T08:59:26.983,40,1.02,30.94,59.989
2013-04-22T08:59:26.983,83,1.02,50.11,59.996
2013-04-22T08:59:26.983,137,0.999,-4.54,59.996
2013-04-22T08:59:26.983,129,1.023,4.17,59.996
2013-04-22T08:59:26.983,43,1.009,38.26,59.997
